Timestamp|UsedLogsegment%
2017-05-04 17:35:59.783082|5.26
2017-05-04 17:36:09.794710|5.29
2017-05-04 17:36:19.801513|5.32
2017-05-04 17:36:29.805723|5.32
2017-05-04 17:36:39.810666|5.32
2017-05-04 17:36:49.816739|0.49
2017-05-04 17:36:59.820879|0.49
2017-05-04 17:37:09.825837|0.53
2017-05-04 17:37:19.831620|8.54
2017-05-04 17:37:29.837843|8.54
2017-05-04 17:37:39.841980|8.54
2017-05-04 17:37:49.849072|6.45
2017-05-04 17:37:59.853255|6.45
2017-05-04 17:38:09.857547|6.45
2017-05-04 17:38:19.863571|6.48
2017-05-04 17:38:29.868170|6.48
2017-05-04 17:38:39.874835|6.48
2017-05-04 17:38:49.878095|0.39
2017-05-04 17:38:59.883519|0.39
2017-05-04 17:39:09.891472|0.39
2017-05-04 17:39:19.895933|0.39
2017-05-04 17:39:29.901753|0.43
2017-05-04 17:39:39.905592|0.43
2017-05-04 17:39:49.913008|0.39
2017-05-04 17:39:59.916389|0.39
2017-05-04 17:40:09.926417|0.39
2017-05-04 17:40:19.931049|0.39
2017-05-04 17:40:29.935610|0.39
2017-05-04 17:40:39.944516|0.43
2017-05-04 17:40:49.949988|0.43
2017-05-04 17:40:59.956800|0.43
2017-05-04 17:41:09.961175|0.43
2017-05-04 17:41:19.968790|0.43
2017-05-04 17:41:29.973382|0.43
2017-05-04 17:41:39.978204|0.43
2017-05-04 17:41:49.987530|0.43
2017-05-04 17:41:59.991719|0.43
2017-05-04 17:42:09.995327|0.43
2017-05-04 17:42:20.020090|8.44
2017-05-04 17:42:30.024878|8.44
2017-05-04 17:42:40.034264|8.44
2017-05-04 17:42:50.039105|6.49
2017-05-04 17:43:00.043431|6.49
2017-05-04 17:43:10.047840|6.49
2017-05-04 17:43:20.051567|6.49
2017-05-04 17:43:30.055773|6.49
2017-05-04 17:43:40.059569|6.49
2017-05-04 17:43:50.062913|0.43
2017-05-04 17:44:00.066567|0.47
2017-05-04 17:44:10.074186|0.47
2017-05-04 17:44:20.079715|0.47
2017-05-04 17:44:30.085048|0.47
2017-05-04 17:44:40.093347|0.47
2017-05-04 17:44:50.103288|0.43
2017-05-04 17:45:00.107748|3.39
2017-05-04 17:45:10.112294|3.96
2017-05-04 17:45:20.122170|4.95
2017-05-04 17:45:30.128937|4.95
2017-05-04 17:45:40.135519|4.95
2017-05-04 17:45:50.143080|0.91
2017-05-04 17:46:00.147525|1.02
2017-05-04 17:46:10.208588|1.02
2017-05-04 17:46:20.212839|1.06
2017-05-04 17:46:30.218511|1.06
2017-05-04 17:46:40.222368|8.01
2017-05-04 17:46:50.231188|17.30
2017-05-04 17:47:00.237948|20.57
2017-05-04 17:47:10.266349|20.57
2017-05-04 17:47:20.271165|28.58
2017-05-04 17:47:30.285715|28.62
2017-05-04 17:47:40.290349|28.62
2017-05-04 17:47:50.295528|18.32
2017-05-04 17:48:00.299511|18.32
2017-05-04 17:48:10.306100|18.32
2017-05-04 17:48:20.310990|18.32
2017-05-04 17:48:30.315859|18.32
2017-05-04 17:48:40.322152|18.36
2017-05-04 17:48:50.330067|15.19
2017-05-04 17:49:00.335056|15.19
2017-05-04 17:49:10.342306|15.19
2017-05-04 17:49:20.346562|15.19
2017-05-04 17:49:30.353749|15.19
2017-05-04 17:49:40.358153|15.19
2017-05-04 17:49:50.362716|11.79
2017-05-04 17:50:00.368967|11.84
2017-05-04 17:50:10.373398|12.16
2017-05-04 17:50:20.381074|12.16
2017-05-04 17:50:30.389514|12.16
2017-05-04 17:50:40.394741|12.16
2017-05-04 17:50:50.398306|6.94
2017-05-04 17:51:00.407973|6.98
2017-05-04 17:51:10.412891|6.98
2017-05-04 17:51:20.417169|6.98
2017-05-04 17:51:30.421731|6.98
2017-05-04 17:51:40.426412|6.98
2017-05-04 17:51:50.433997|0.43
2017-05-04 17:52:00.437627|0.47
2017-05-04 17:52:10.441056|0.47
2017-05-04 17:52:20.473161|8.48
2017-05-04 17:52:30.480173|8.48
2017-05-04 17:52:40.483838|8.48
2017-05-04 17:52:50.488065|6.45
2017-05-04 17:53:00.491457|6.45
2017-05-04 17:53:10.497607|6.48
2017-05-04 17:53:20.504046|6.49
2017-05-04 17:53:30.509440|6.49
2017-05-04 17:53:40.514346|6.49
2017-05-04 17:53:50.518217|0.43
2017-05-04 17:54:00.523163|0.43
2017-05-04 17:54:10.528432|0.43
2017-05-04 17:54:20.535916|0.47
2017-05-04 17:54:30.539378|0.47
2017-05-04 17:54:40.543122|0.47
2017-05-04 17:54:50.550980|0.43
2017-05-04 17:55:00.555296|0.43
2017-05-04 17:55:10.558899|0.43
2017-05-04 17:55:20.562826|0.43
2017-05-04 17:55:30.570147|0.46
2017-05-04 17:55:40.574879|0.46
2017-05-04 17:55:50.578845|0.43
2017-05-04 17:56:00.583473|0.43
2017-05-04 17:56:10.587977|0.43
2017-05-04 17:56:20.593735|0.43
2017-05-04 17:56:30.603587|0.43
2017-05-04 17:56:40.619685|0.47
2017-05-04 17:56:50.627789|0.43
2017-05-04 17:57:00.633558|0.43
2017-05-04 17:57:10.637928|0.43
2017-05-04 17:57:20.644572|0.43
2017-05-04 17:57:30.650759|0.43
2017-05-04 17:57:40.654709|0.43
2017-05-04 17:57:50.661342|0.43
2017-05-04 17:58:00.666128|0.43
